   2.431677,  -0.806582, 1, 1, 0
   0.957980,   0.978733, 1, 1, 1
   0.617778,   0.624509, 1, 1, 2
  -1.036711,  -0.629821, 1, 1, 3
  -0.207813,   0.111562, 1, 1, 4
  -0.191524,  -0.392214, 1, 1, 5
  -0.570888,  -0.450040, 1, 1, 6
   0.251326,   0.697594, 1, 1, 7
   0.535824,  -0.248648, 1, 1, 8
  -1.515265,  -0.827679, 1, 1, 9
  -0.708912,  -0.068199, 1, 2, 0
   0.242497,   0.413902, 1, 2, 1
   0.186883,   0.361782, 1, 2, 2
  -0.123175,   0.417309, 1, 2, 3
   0.178776,   0.515601, 1, 2, 4
   0.237050,   0.321876, 1, 2, 5
  -0.145676,   0.177048, 1, 2, 6
  -0.150840,   0.284047, 1, 2, 7
  -0.075137,   0.439718, 1, 2, 8
  -0.012640,   0.525660, 1, 2, 9
   0.787317,  -1.282222, 1, 3, 0
  -0.189320,  -0.747973, 1, 3, 1
  -1.931039,  -0.693714, 1, 3, 2
  -1.681274,  -0.435117, 1, 3, 3
  -0.060518,  -0.254891, 1, 3, 4
  -0.846795,  -1.119830, 1, 3, 5
  -1.220711,   0.017558, 1, 3, 6
  -0.142288,  -0.517390, 1, 3, 7
   0.105077,  -0.270237, 1, 3, 8
  -0.366031,  -0.186856, 1, 3, 9
  -0.028373,   2.273249, 1, 4, 0
   1.126516,  -0.771176, 1, 4, 1
   0.683141,  -0.000537, 1, 4, 2
   0.082322,  -0.002468, 1, 4, 3
   0.662055,   0.448047, 1, 4, 4
   0.237612,   0.111728, 1, 4, 5
  -0.203629,   0.428555, 1, 4, 6
   0.933459,   0.038902, 1, 4, 7
   0.476174,  -0.119329, 1, 4, 8
  -0.087685,  -0.282722, 1, 4, 9
  -0.366373,   0.326786, 1, 5, 0
  -0.546039,   0.703341, 1, 5, 1
  -0.500824,   0.716783, 1, 5, 2
  -0.915737,   0.887912, 1, 5, 3
  -0.271466,   0.484522, 1, 5, 4
  -0.098346,   0.731617, 1, 5, 5
  -0.652852,   0.875429, 1, 5, 6
   0.092370,   0.407636, 1, 5, 7
   0.024847,   0.537626, 1, 5, 8
  -0.343525,   1.161112, 1, 5, 9
   2.468563,  -0.961920, 1, 6, 0
  -1.445149,   1.296335, 1, 6, 1
  -1.044635,   0.387187, 1, 6, 2
